	Naive Bayes	Random Forest	SVM	KNN
Accuracy	0.9413011576716126	0.904695907386271	0.964699168433067	0.9038795401455294
Precision	0.9340164267349313	0.9025963995959765	0.9621963850257366	0.8966865914105044
Recall	0.940447504716297	0.8914822137647709	0.9628326920106749	0.8975438984965642
F-Measure	0.936522640764126	0.8956789140107846	0.9625062268355865	0.904306921034939
