	Naive Bayes	Random Forest	SVM	KNN
Accuracy	0.9310288602641448	0.9157019403228437	0.8835806293820316	0.904614831330411
Precision	0.920900620842445	0.9124103627237714	0.9058806809681798	0.8948252693216217
Recall	0.9301980955134823	0.9044560811146262	0.8399115765899332	0.8959606943090842
F-Measure	0.9243114271617798	0.9074150464774569	0.8429961663020361	0.900564492510895
