	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.9413011576716126	0.904695907386271	0.8252078917332464	0.9038795401455294	0.9660851133213761
Precision	0.9340164267349313	0.9025963995959765	0.8800033451134552	0.8966865914105044	0.9635612024016302
Recall	0.940447504716297	0.8914822137647709	0.7518608280468851	0.8975438984965642	0.9643889029267763
F-Measure	0.936522640764126	0.8956789140107846	0.7133384584905774	0.904306921034939	0.9639679186023852
